,gene_symbol,gene_synonym,uniprot
343,FER,FER,P16591
344,FES,FES,P07332
345,FGFR1,FGFR1,P11362
346,FGFR2,FGFR2,P21802
347,FGFR3,FGFR3,P22607
348,FGFR4,FGFR4,P22455
349,FGR,FGR,P09769
350,FLT1,VGFR1,P17948
351,FLT3,FLT3,P36888
352,FLT4,VGFR3,P35916
353,FRK,FRK,P42685
354,FYN,FYN,P06241
355,HCK,HCK,P08631
356,IGF1R,IGF1R,P08069
357,INSR,INSR,P06213
358,INSRR,INSRR,P14616
359,ITK,ITK,Q08881
360,JAK1,JAK1,P23458
361,JAK2,JAK2,O60674
362,JAK3,JAK3,P52333
363,KDR,VGFR2,P35968
364,KIT,KIT,P10721
365,LCK,LCK,P06239
366,LMTK2,LMTK2,Q8IWU2
367,LMTK3,LMTK3,Q96Q04
368,LTK,LTK,P29376
369,LYN,LYN,P07948
370,MATK,MATK,P42679
371,MERTK,MERTK,Q12866
372,MET,MET,P08581
373,MST1R,RON,Q04912
374,MUSK,MUSK,O15146
375,NTRK1,NTRK1,P04629
376,NTRK2,NTRK2,Q16620
377,NTRK3,NTRK3,Q16288
378,PDGFRA,PGFRA,P16234
379,PDGFRB,PGFRB,P09619
380,PTK2,FAK1,Q05397
381,PTK2B,FAK2,Q14289
382,PTK6,PTK6,Q13882
383,PTK7,PTK7,Q13308
384,RET,RET,P07949
385,ROR1,ROR1,Q01973
386,ROR2,ROR2,Q01974
387,ROS1,ROS1,P08922
388,RYK,RYK,P34925
389,SRC,SRC,P12931
390,SRMS,SRMS,Q9H3Y6
391,STYK1,STYK1,Q6J9G0
392,SYK,KSYK,P43405
393,TEC,TEC,P42680
394,TEK,TIE2,Q02763
395,TIE1,TIE1,P35590
396,TNK1,TNK1,Q13470
397,TNK2,ACK1,Q07912
398,TXK,TXK,P42681
399,TYK2,TYK2,P29597
400,TYRO3,TYRO3,Q06418
401,YES1,YES,P07947
402,ZAP70,ZAP70,P43403
403,AAK1,AAK1,Q2M2I8
404,AURKA,AURKA,O14965
405,AURKB,AURKB,Q96GD4
406,AURKC,AURKC,Q9UQB9
407,BMP2K,BMP2K,Q9NSY1
408,BUB1,BUB1,O43683
409,BUB1B,BUB1B,O60566
410,CAMKK1,KKCC1,Q8N5S9
411,CAMKK2,KKCC2,Q96RR4
412,CDC7,CDC7,O00311
413,CHUK,IKKA,O15111
414,CSNK2A1,CSK21,P68400
415,CSNK2A2,CSK22,P19784
416,CSNK2A3,CSK23,Q8NEV1
417,DSTYK,DUSTY,Q6XUX3
418,EIF2AK1,E2AK1,Q9BQI3
419,EIF2AK2,E2AK2,P19525
420,EIF2AK3,E2AK3,Q9NZJ5
421,EIF2AK4,E2AK4,Q9P2K8
422,ERN1,ERN1,O75460
423,ERN2,ERN2,Q76MJ5
424,GAK,GAK,O14976
425,HASPIN,HASP,Q8TF76
426,IKBKB,IKKB,O14920
427,IKBKE,IKKE,Q14164
428,MLKL,MLKL,Q8NB16
429,MOS,MOS,P00540
430,NRBP1,NRBP,Q9UHY1
431,NRBP2,NRBP2,Q9NSY0
432,PAN3,PAN3,Q58A45
433,PDIK1L,PDK1L,Q8N165
434,PEAK1,PEAK1,Q9H792
435,PEAK3,PEAK3,Q6ZS72
436,PIK3R4,PI3R4,Q99570
437,PINK1,PINK1,Q9BXM7
438,PKDCC,PKDCC,Q504Y2
439,PKMYT1,PMYT1,Q99640
440,PLK1,PLK1,P53350
441,PLK2,PLK2,Q9NYY3
442,PLK3,PLK3,Q9H4B4
443,PLK4,PLK4,O00444
444,PLK5,PLK5,Q496M5
445,POMK,SG196,Q9H5K3
446,PRAG1,PRAG1,Q86YV5
447,PXK,PXK,Q7Z7A4
448,RNASEL,RN5A,Q05823
449,RPS6KC1,KS6C1,Q96S38
450,RPS6KL1,RPKL1,Q9Y6S9
451,RSKR,KS6R,Q96LW2
452,SBK1,SBK1,Q52WX2
453,SBK2,SBK2,P0C263
454,SBK3,SBK3,P0C264
455,SCYL1,SCYL1,Q96KG9
456,SCYL2,SCYL2,Q6P3W7
457,SCYL3,PACE1,Q8IZE3
458,STK16,STK16,O75716
459,STK31,STK31,Q9BXU1
460,STK32A,ST32A,Q8WU08
461,STK32B,ST32B,Q9NY57
462,STK32C,ST32C,Q86UX6
463,STK35,STK35,Q8TDR2
464,STK36,STK36,Q9NRP7
465,STKLD1,STKL1,Q8NE28
466,TBCK,TBCK,Q8TEA7
467,TBK1,TBK1,Q9UHD2
468,TEX14,TEX14,Q8IWB6
469,TLK1,TLK1,Q9UKI8
470,TLK2,TLK2,Q86UE8
471,TP53RK,PRPK,Q96S44
472,TTK,TTK,P33981
473,UHMK1,UHMK1,Q8TAS1
474,ULK1,ULK1,O75385
475,ULK2,ULK2,Q8IYT8
476,ULK3,ULK3,Q6PHR2
477,ULK4,ULK4,Q96C45
478,WEE1,WEE1,P30291
479,WEE2,WEE2,P0C1S8
480,WNK1,WNK1,Q9H4A3
481,WNK2,WNK2,Q9Y3S1
482,WNK3,WNK3,Q9BYP7
483,WNK4,WNK4,Q96J92
484,ADCK1,ADCK1,Q86TW2
485,ADCK2,ADCK2,Q7Z695
486,ADCK5,ADCK5,Q3MIX3
487,COQ8A,COQ8A,Q8NI60
488,COQ8B,COQ8B,Q96D53
489,ALPK1,ALPK1,Q96QP1
490,ALPK2,ALPK2,Q86TB3
491,ALPK3,ALPK3,Q96L96
492,EEF2K,EF2K,O00418
493,TRPM6,TRPM6,Q9BX84
494,TRPM7,TRPM7,Q96QT4
495,FASTK,FASTK,Q14296
496,BCKDK,BCKD,O14874
497,PDK1,PDK1,Q15118
498,PDK2,PDK2,Q15119
499,PDK3,PDK3,Q15120
500,PDK4,PDK4,Q16654
501,ATM,ATM,Q13315
502,ATR,ATR,Q13535
503,MTOR,MTOR,P42345
504,PIK3CA,PK3CA,P42336
505,PIK3CB,PK3CB,P42338
506,PIK3CD,PK3CD,O00329
507,PIK3CG,PK3CG,P48736
508,PRKDC,PRKDC,P78527
509,SMG1,SMG1,Q96Q15
510,RIOK1,RIOK1,Q9BRS2
511,RIOK2,RIOK2,Q9BVS4
512,RIOK3,RIOK3,O14730
